"player_fantasy_sql_id","player_last_name","player_first_name","player_jersey_number","player_height","player_weight","player_age","player_team","player_college","player_position","player_super_bowl_rings","player_injury_history","player_nicknames","coach_name"
1,"Thielen","Adam",19,"6'1""",201,33,"Vikings","Mankato State","WR",0,"Ankle",NULL,"Kevin O’Connell"
2,"Sherman","Richard",25,"6'3""",205,35,"Seahawks","Stanford","DB",1,"Achilles",NULL,"Pete Carroll"
3,"Mahomes","Patrick",15,"6'2""",225,27,"Chiefs","Texas Tech","QB",2,"Ankle",NULL,"Andy Reid"
4,"Brady","Tom",12,"6'4""",225,46,"Patriots","Michigan State","QB",7,NULL,"GOAT","Bill Belichick"
5,"Hill","Tyreek",10,"5'10""",185,29,"Chiefs","Oklahoma State","WR",1,"Ankle","Cheetah","Andy Reid"
6,"Lewis","Ray",52,"6'1""",250,48,"Ravens","Miami","MLB",2,"Torn tricep",NULL,"John Harbaugh"
7,"Butler","Mario",39,"6'1""",184,34,"Bills","Georgia Tech","DB",0,"Ankle",NULL,"Sean McDermott"
8,"Taylor","Lawrence",56,"6'3""",240,64,"Giants","North Carolina","OLB",1,NULL,"L.T.","Brian Daboll"
9,"Lynch","Marshawn",24,"5'11""",215,37,"Seahawks","California, Berkeley","FB",1,NULL,"Beast Mode","Pete Carroll"
10,"Peterson","Adrian",28,"6'1""",217,38,"Vikings","Oklahoma","HB",0,"Torn meniscus","All Day","Kevin O’Connell"
11,"Adams","Davante",17,"6'1""",216,30,"Raiders","Fresno State","WR",0,"Concussion","The Adams Express","Josh McDaniels"
12,"Buckner","DeForest",99,"6'7""",295,29,"Colts","Oregon","DT",0,"Ribs","DeFo","Shane Steichen"
13,"Hopkins","DeAndre",10,"6'1""",212,31,"Texans","Clemson","WR",0,"Torn MCL","Nuk","DeMeco Ryans"
14,"Donald","Aaron",99,"6'1""",284,32,"Rams","Pittsburgh","DT",1,"Knee",NULL,"Sean McVay"
15,"Fleck","Phillip",10,"5'10""",191,42,"49ers","Northern Illinois","WR",0,NULL,"P.J. Fleck","Kyle Shanahan"
16,"McCaffrey","Christian",23,"5'11""",209,27,"49ers","Stanford","HB",0,"Strained hamstring","Run CMC","Kyle Shanahan"
17,"Benford","Christian",47,"6'1""",205,22,"Bills","Villanova","DB",0,"Fractured Hand",NULL,"Sean McDermott"
18,"Rodgers","Aaron",12,"6'2""",225,39,"Packers","California, Berkeley","QB",0,"Torn achillies tendon","A-Rod","Matt LaFleur"
19,"Patterson","Cordarrelle",84,"6'2""",220,32,"Vikings","Tennessee","HB",1,"Thigh",NULL,"Kevin O’Connell"
20,"Jefferson","Justin",18,"6'1""",203,24,"Vikings","LSU","WR",0,"Ankle","Jets","Kevin O’Connell"
21,"Winfield Jr.","Antoine",31,"5'9""",203,25,"Buccaneers","Minnesota","FS",1,"Concussion",NULL,"Todd Bowles"
22,"Warner","Fred",54,"6'3""",229,26,"49ers","BYU","MLB",0,NULL,NULL,"Kyle Shanahan"
23,"Charles","Jamaal",25,"5'11""",199,36,"Chiefs","Texas","HB",0,"Torn ACL",NULL,"Andy Reid"
24,"Scherff","Brandon",68,"6'5""",319,31,"Jaguars","Iowa","OG",0,"Ankle","Paul Bunyan","Doug Pederson"
25,"Prescott","Dak",4,"6'2""",229,30,"Cowboys","Mississippi State","QB",0,"Ankle",NULL,"Mike McCarthy"
26,"Ford-Wheaton","Bryce",6,"6'4""",225,23,"Giants","West Virginia","WR",0,"Torn ACL",NULL,"Brian Daboll"
27,"Metcalf","DK",14,"6'4""",236,25,"Seahawks","Mississippi","WR",0,"Patellar","Wolverine","Pete Carroll"
28,"Facyson","Brandon",35,"6'2""",187,29,"Raiders","Virginia Tech","DB",0,"Concussion",NULL,"Josh McDaniels"
29,"Swift","D'Andre",32,"5'9""",216,24,"Eagles","Georgia","HB",0,NULL,NULL,"Nick Sirianni"
30,"Flannigan-Fowles","Demetrius",45,"6'2""",223,27,"49ers","Arizona","MLB",0,"Knee",NULL,"Kyle Shanahan"
31,"Forrest Jr.","Darrick",22,"5'11""",200,24,"Redskins","Cincinnati","FS",0,NULL,NULL,"Ron Rivera"
32,"Mathieu","Tyrann",32,"5'9""",190,31,"Chiefs","LSU","SS, FS",1,"Torn ACL, Torn LCL","Honey Badger","Andy Reid"
33,"Henry Jr.","Derrick",22,"6'3""",247,29,"Titans","Alabama","HB, FB",0,"Hip","King Henry","Mike Vrabel"
34,"Johnson","Calvin",81,"6'5""",281,37,"Lions","Georgia Tech","WR",0,"Knee, ankle, finger","Megatron","Dan Campbell"
35,"""Deebo"" Samuel","Tyshun",19,"6'0""",216,27,"49ers","South Carolina","WR",0,"MCL sprain, Ankle sprain",NULL,"Kyle Shanahan"
36,"Newton","Cameron",1,"6'5""",245,34,"Panthers","Auburn","QB",0,"Fractured rib","Super Cam","Frank Reich"
37,"Allen","Josh",17,"6'5""",238,27,"Bills","Wyoming","QB",0,"Torn ulnar collateral ligament","The Alien","Sean McDermott"
38,"Stephens","Timothy Brandon",21,"6'1""",216,25,"Ravens","UCLA","HB",0,NULL,NULL,"John Harbaugh"
39,"Beckham Jr.","Odell",13,"5'11""",198,30,"Giants","LSU","WR",1,"Dislacated finger, Torn ACL","OBJ","Brian Daboll"
40,"Fitzgerald Jr.","Larry",11,"6'3""",218,40,"Cardinals","Pittsburgh","WR",0,"MCL sprain","Fitz, Sticky Fingers","Jonathan Gannon"
41,"Thomas","Andrew",78,"6'5""",315,24,"Giants","Georgia","OT",0,"Torn hamstring",NULL,"Brian Daboll"
42,"Adebawore","Adetomiwa",95,"6'2""",282,22,"Colts","Northwestern","DT",0,NULL,NULL,"Shane Steichen"
43,"Williams","Quinnen",95,"6'3""",303,25,"Jets","Alabama","DT",0,NULL,NULL,"Robert Saleh"
44,"Stephenson","Dwight",57,"6'2""",225,65,"Dolphins","Alabama","C",0,NULL,NULL,"Mike McDaniel"
45,"Anderson Jr.","Abdullah",65,"6'4""",297,27,"Falcons","Bucknell","DT",1,NULL,NULL,"Arthur Smith"
46,"James Jr.","Derwin",33,"6'2""",216,27,"Chargers","Florida State","SS",0,"Torn left lateral meniscus","Pooh Bear","Brandon Staley"
47,"Fitzpatrick Jr.","Minkah",39,"6'1""",207,26,"Steelers","Alabama","FS",0,"Kidney injury","FitzMagic","Mike Tomlin"
48,"Heyward","Cameron",97,"6'5""",288,34,"Steelers","Ohio State","DT",0,"Groin injury",NULL,"Mike Tomlin"
49,"Roethlisberger Sr.","Ben",7,"6'5""",241,41,"Steelers","Miami","QB",0,"Dislocated rib","Big Ben","Mike Tomlin"
50,"Forbes","Andrew",79,"6'5""",305,26,"Browns","Southeast Missouri State","T",0,"Back",NULL,"Kevin Stefanski"
51,"Manning","Peyton",18,"6'5""",230,47,"Broncos","Tennessee","QB",2,"Neck","The Sheriff","Sean Payton"
52,"Burrow","Joe",9,"6'4""",215,26,"Bengals","Ohio State, LSU","QB",0,"Strained right calf","Joe Cool","Zac Taylor"
53,"Kupp","Cooper",10,"6'2""",194,30,"Rams","Eastern Washington","WR",1,"Hamstring","Kuppdog","Sean McVay"
54,"Alford","DeAundre ""Dee""",20,"5'11""",175,25,"Falcons","Tusculum","DB",0,"Hamstring","Dee","Arthur Smith"
55,"Johnson","Juwan",83,"6'4""",231,27,"Saints","Penn State, Oregon","TE",0,"Quadraceps",NULL,"Dennis Allen"
56,"Brown Sr.","Arthur Juan ""A.J.""",20,"6'1""",226,26,"Titans","Ole Miss","WR",0,"Knees","The Show","Mike Vrabel"
57,"Fields","Justin",1,"6'3""",227,24,"Bears","Ohio State","QB",0,"Partially torn shoulder ligaments","The Sally Fields","Matt Eberflus"
58,"Lindstrom","Christopher",63,"6'4""",306,26,"Falcons","Boston","OG",0,"Broken foot",NULL,"Arthur Smith"
59,"Fitzpatrick","Desmond Emil ""Dez""",82,"6'2""",208,82,"Steelers","Louisville","WR",0,NULL,"DEZ","Mike Tomlin"
60,"Mayfield","Baker",6,"6'1""",215,28,"Buccaneers","Texas Tech","QB",0,"Right shoulder","Record Baker","Todd Bowles"
61,"Armstead","Arik",9,"6'7""",280,29,"49ers","Oregon","DE",1,"Torn left shoulder labrum",NULL,"Kyle Shanahan"
62,"Lurtsema","Bob",75,"6'6""",250,81,"Vikings","Western Michigan","DE, DT",0,NULL,"Benchwarmer Bob","Kevin O’Connell"
63,"Freeland","Blake",73,"6'8""",302,22,"Colts","BYU","OT",0,NULL,NULL,"Shane Steichen"
64,"Fehoko","Breiden",96,"6'3""",295,26,"Steelers","LSU","NG",0,NULL,NULL,"Mike Tomlin"
65,"Thompson-Robinson","Dorian",17,"6'2""",203,23,"Browns","UCLA","QB",0,NULL,"DTR","Kevin Stefanski"
66,"Fowler Jr.","Dante",56,"6'3""",255,29,"Cowboys","Florida","DE",0,"Torn ACL","Man Child","Mike McCarthy"
67,"Flott","Cordale",28,"6'1""",174,22,"Giants","LSU","DB",0,"Calf",NULL,"Brian Daboll"
68,"Felton, Jr.","Demetric",25,"5'9""",190,25,"Browns","UCLA","HB",0,NULL,NULL,"Kevin Stefanski"
69,"Fountain","Daurice",82,"6'2""",209,27,"Chiefs","Northern Iowa","WR",0,"Broken and dislocated left ankle",NULL,"Andy Reid"
70,"Reed","Ed",20,"5'11""",205,45,"Ravens","Miami","SS, FS",1,"Torn labrum","Ball Hawk","John Harbaugh"
71,"McFarland Jr.","Anthony",26,"5'8""",194,25,"Steelers","Maryland","HB",0,"Torn MCL",NULL,"Mike Tomlin"
72,"Gutiérrez","Alfredo",77,"6'9""",333,27,"49ers","ITESM","OT",0,NULL,NULL,"Kyle Shanahan"
73,"Foreman","D'Onta",21,"6'0""",236,27,"Bears","Texas","HB, FB",0,"Ribs",NULL,"Matt Eberflus"
74,"Diggs","Stefon",14,"6'0""",194,29,"Bills","Maryland","WR",0,"Oblique",NULL,"Sean McDermott"
75,"Flowers","Dallis",33,"6'1""",196,26,"Colts","Grand View, Pittsburg State","DB",0,NULL,NULL,"Shane Steichen"
76,"Campbell","De'Vondre",59,"6'4""",232,30,"Packers","Minnesota","OLB",0,"Ankle",NULL,"Matt LaFleur"
